No,콜서버명,공식 업무명,용도,설치장소,RACK-no,플랫폼,OS명,시리얼 번호,시스템분류,시스템 제조사,시스템 모델,공급사1,공급사2,비고1,비고2
51,IVR,IVR시스템,운영,마북4F,A-13,Embedded,REDHAT,SGH613YB5A,어플라이언스,HP,DL360 G9,KT engcore,한솔,,
52,IVR,IVR시스템,개발,마북4F,A-13,Embedded,REDHAT,SGH613YB5B,어플라이언스,HP,DL360 G9,KT engcore,한솔,,
53,IVR,보이는 ARS 시스템,개발,마북4F,A-13,NT,WINDOWS,SGH746TV5H,일반서버,HP,DL360 G10,화인,,,
54,,콜센터,개발,마북4F,A-14,NT,WINDOWS,SGH2216H60,일반서버,HP,DL380 G7,,,,
55,,콜센터,개발,마북4F,A-14,NT,WINDOWS,SGH520YMV1,일반서버,HP,DL360 G8,,,,
56,IVR,IVR시스템,운영,마북4F,A-14,Embedded,REDHAT,SGH613YB59,어플라이언스,HP,DL360 G9,KT engcore,한솔,,
57,IVR,IVR시스템,운영,마북4F,A-14,Embedded,REDHAT,SGH613YB58,어플라이언스,HP,DL360 G9,KT engcore,한솔,,
58,녹취,녹취시스템,운영,마북4F,A-14,NT,WINDOWS,SGH613YB6K,일반서버,HP,DL380 G9,KT engcore,한솔,보이스토어,
59,녹취,녹취시스템,운영,마북4F,A-14,NT,WINDOWS,SGH613YB6H,일반서버,HP,DL380 G9,KT engcore,한솔,보이스토어,
60,녹취,녹취시스템,DR,마북4F,A-14,NT,WINDOWS,SGH614YN3X,일반서버,HP,DL380 G9,KT engcore,한솔,보이스토어,
61,KMS,위치추적시스템,운영,마북4F,A-14,NT,WINDOWS,SGH614YN55,일반서버,HP,DL380 G9,화인,,,
62,PDS,PDS시스템,운영,마북4F,A-14,NT,WINDOWS,SGH614YN48,일반서버,HP,DL380 G9,화인,,,
63,CMS,CMS시스템,운영,마북4F,A-14,Embedded,REDHAT,16AN17300003,어플라이언스,DELL,R730,KT engcore,한솔,,
64,,일본지사 전산 시스템,DR,마북4F,A-15,NA,,CKM0013****609,스토리지_SAN,EMC,VNX5200,,,,
65,,"ERP, 자산운용",DR,마북4F,A-15,NA,,CKM0018****732,스토리지_DAS,EMC,Unity300H,,,,
66,,하이콜 시스템,DR,마북4F,A-16,NA,,FOX1422GRL9,SAN스위치,EMC,MDS9222I,,,,
67,,하이콜 시스템,DR,마북4F,A-16,NA,,FOX1243GQDW,SAN스위치,EMC,MDS9222I,,,,
68,,콜센터,DR,마북4F,A-16,NA,,CKM0016****2132007,스토리지_DAS,EMC,VNX5200,,,,
69,,하이콜 시스템,DR,마북4F,A-17,NA,,HK190301300,스토리지_SAN,EMC,DMX4-950,,,,
70,CTI,CTI 시스템,개발,마북4F,A-18,NA,,AK00358421,통합서버,ORACLE,T7-1,KT engcore,한솔,,
71,CTI,CTI 시스템,운영,마북4F,A-18,NA,,AK00358422,통합서버,ORACLE,T7-1,KT engcore,한솔,,
72,CTI,CTI 시스템,운영,마북4F,A-18,NA,,AK00358423,통합서버,ORACLE,T7-1,KT engcore,한솔,,
73,,하이콜 시스템,운영,마북4F,A-18,NA,,AK00358390,통합서버,ORACLE,T7-1,,,,
74,,DB 암호화,개발,마북4F,A-19,,,QV060014618,SAN스위치,BROCADE,Silkworm 48000,,,,
75,,PTL,DR,마북4F,B-02,NA,,464970G1449SY3595,LTO,ORACLE,StorageTek SL150,,,,
76,,PTL,DR,마북4F,B-02,Embedded,SOLARIS(x86),0902QAL013,어플라이언스,ORACLE,X2100,,,,
77,,PTL,DR,마북4F,B-02,Embedded,SOLARIS(x86),0852QAL031,어플라이언스,ORACLE,X2100,,,,
78,,하이포탈시스템,DR,마북4F,B-03,Embedded,ONTAP,451704000196/451704000197,스토리지_NAS,NETAPP,FAS8040A,,,,
79,,하이포탈시스템,DR,마북4F,B-03,Embedded,ONTAP,451704000203/451704000204,스토리지_NAS,NETAPP,AFF8040A,,,,
80,,하이포탈시스템,검증,마북4F,B-04,LINUX,Oracle_Linux,1830XC20EA,일반서버,ORACLE,X7-2L,,,,
81,,하이포탈시스템,DR,마북4F,B-04,LINUX,Oracle_Linux,1830XC20E9,일반서버,ORACLE,X7-2L,,,,
82,,하이포탈시스템,DR,마북4F,B-04,NA,,PZ51831008,통합서버,ORACLE,M12-2S,,,,
83,,하이포탈시스템,검증,마북4F,B-04,NA,,PZ21831003,IO_DEVICE,ORACLE,SUN External I/O Expansion Unit,,,,
84,,하이포탈시스템,검증,마북4F,B-04,NA,,PZ21831002,IO_DEVICE,ORACLE,SUN External I/O Expansion Unit,,,,
85,,하이포탈시스템,DR,마북4F,B-04,NA,,PZ51831010,통합서버,ORACLE,M12-2S,,,,
86,,하이포탈시스템,DR,마북4F,B-04,NA,,PZ51831011,통합서버,ORACLE,M12-2S,,,,
87,,하이포탈시스템,DR,마북4F,B-04,NA,,PZ51831012,통합서버,ORACLE,M12-2S,,,,
88,,하이포탈시스템,검증,마북4F,B-05,LINUX,Oracle_Linux,1831XC303L,일반서버,ORACLE,X7-2,,,,
89,,하이포탈시스템,개발,마북4F,B-05,NT,WINDOWS,1831XC303M,일반서버,ORACLE,X7-2,,,,
90,,하이포탈시스템,DR,마북4F,B-05,NA,,PZ51831009,통합서버,ORACLE,M12-2S,,,,
91,,하이포탈시스템,DR,마북4F,B-05,NA,,PZ51831005,IO_DEVICE,ORACLE,SUN External I/O Expansion Unit,,,,
92,,하이포탈시스템,검증,마북4F,B-05,NA,,PZ51831004,IO_DEVICE,ORACLE,SUN External I/O Expansion Unit,,,,
93,,하이포탈시스템,DR,마북4F,B-05,NA,,PZ51831013,통합서버,ORACLE,M12-2S,,,,
94,,하이포탈시스템,DR,마북4F,B-05,NA,,PZ51831014,통합서버,ORACLE,M12-2S,,,,
95,,하이포탈시스템,DR,마북4F,B-05,NA,,PZ51831015,통합서버,ORACLE,M12-2S,,,,
96,,하이포탈시스템,DR,마북4F,B-05,NA,,PZ51808024,통합서버,ORACLE,M12-2,,,,
97,,하이포탈시스템,DR,마북4F,B-06,NA,,PZ51831016,통합서버,ORACLE,M12-2S,,,,
98,,하이포탈시스템,DR,마북4F,B-06,NA,,PZ51831017,통합서버,ORACLE,M12-2S,,,,
99,,하이포탈시스템,DR,마북4F,B-06,NA,,PZ51831018,통합서버,ORACLE,M12-2S,,,,
100,,하이포탈시스템,DR,마북4F,B-06,NA,,PZ51831019,통합서버,ORACLE,M12-2S,,,,
101,,하이포탈시스템,DR,마북4F,B-06,NA,,1744NNT2UU,통합서버,ORACLE,S7-2L,,,,
102,,하이포탈시스템,DR,마북4F,B-06,NA,,1744NNT2UT,통합서버,ORACLE,S7-2L,,,,
103,,하이포탈시스템,DR,마북4F,B-06,NA,,1744NNT2VO,통합서버,ORACLE,S7-2L,,,,
104,,하이포탈시스템,DR,마북4F,B-06,NA,,1744NNT2V1,통합서버,ORACLE,S7-2L,,,,
105,,하이포탈시스템,검증,마북4F,B-06,NA,,1744NNT2V2,통합서버,ORACLE,S7-2L,,,,
106,,하이포탈시스템,DR,마북4F,B-06,NA,,1805NNT4HN,통합서버,ORACLE,S7-2L,,,,
107,,하이포탈시스템,DR,마북4F,B-07,NA,,1817NN75A2,통합서버,ORACLE,T7-4,,,,
108,,하이포탈시스템,DR,마북4F,B-07,NA,,1819NN75FF,통합서버,ORACLE,T7-4,,,,
109,,하이포탈시스템,DR,마북4F,B-07,NA,,1819NN75FC,통합서버,ORACLE,T7-4,,,,
110,,하이포탈시스템,DR,마북4F,B-07,NA,,1817NN759T,통합서버,ORACLE,T7-4,,,,
111,,하이포탈시스템,DR,마북4F,B-08,NA,,1819NN75FJ,통합서버,ORACLE,T7-4,,,,
112,,하이포탈시스템,DR,마북4F,B-08,NA,,1819NN75FG,통합서버,ORACLE,T7-4,,,,
113,,하이포탈시스템,DR,마북4F,B-08,NA,,1819NN75FD,통합서버,ORACLE,T7-4,,,,
114,,기간계 통합SAN,DR,마북4F,B-09,NA,,AFX2533H013,SAN스위치,BROCADE,BR-DCX-0001,,,,
115,,기간계 통합SAN,DR,마북4F,B-09,NA,,QV060010503,SAN스위치,BROCADE,Silkworm 48000,,,,
116,,외부통합,DR,마북4F,B-10,NA,,849435V,통합서버,IBM,P780,,,,
117,,외부통합,DR,마북4F,B-10,Embedded,HMC,84F60DC,Console,IBM,7042-CR7,,,,
118,,내부통합,DR,마북4F,B-11,NA,,849436V,통합서버,IBM,P780,,,,
119,,내부통합,DR,마북4F,B-11,Embedded,HMC,84F60FC,Console,IBM,7042-CR7,,,,
120,,관리계 통합SAN,DR,마북4F,B-12,NA,,10176KE,SAN스위치,IBM,SAN384B2,,,,
121,,관리계 통합SAN,DR,마북4F,B-13,NA,,10176HV,SAN스위치,IBM,SAN384B2,,,,
122,,외부통합,DR,마북4F,B-14,NA,,75DFV70,스토리지_SAN,IBM,DS8870,,,,
123,,자산운용시스템(검증/개발/DR),DR,마북4F,B-15,NA,,7819970,통합서버,IBM,S924,,,,
124,,자산운용시스템(검증/개발/DR),DR,마북4F,B-15,Embedded,HMC,130BBXA,Console,IBM,7063-CR1,,,,
125,,자산운용시스템(검증/개발/DR),DR,마북4F,B-15,NA,,3EH1783D504A1,NET스위치,NETGEAR,JFS524,,,,
126,,자산운용시스템(검증/개발/DR),DR,마북4F,B-15,NA,,941839000068/941839000069,스토리지_NAS,NETAPP,FAS2650A,,,,
127,,자산운용시스템(검증/개발/DR) 확장 IO,DR,마북4F,B-15,,,97-A2230,DAT,IBM,7226-1U3,,,,
128,,내부통합,DR,마북4F,B-16,NA,,75DFR10,스토리지_SAN,IBM,DS8870,,,,
129,,통합녹취,DR,마북4F,B-17,NA,,CKM0017****685,스토리지_ARCH,EMC,ECS,,,,
130,,보상손사포탈,개발,마북4F,C-02,,,1920XC200H,통합서버,ORACLE,X7-2L,,,,
131,,보상손사포탈,개발,마북4F,C-02,,,1919NNTA2F,통합서버,ORACLE,S7-2L,,,,
132,,보상손사포탈,개발,마북4F,C-02,,,1918XC3057,일반서버,ORACLE,X7-2,,,,
133,,보상손사포탈,개발,마북4F,C-03,,,1920XC200F,통합서버,ORACLE,X7-2L,,,,
134,,보상손사포탈,개발,마북4F,C-03,,,1920XC200D,통합서버,ORACLE,X7-2L,,,,
135,,보상손사포탈,개발,마북4F,C-03,,,1919NNTA1E,통합서버,ORACLE,S7-2L,,,,
136,,스마트 DM,개발,마북4F,C-07,NT,WINDOWS,06MYKB0,일반서버,IBM,X3650 M4,,,,
137,,하이포탈시스템,DR,마북4F,C-08,Embedded,,10576,스토리지_SAN,HITACHI,VSP G1500,,,,
138,,DR통합스토리지,DR,마북4F,C-09,NA,,55879,스토리지_SAN,HITACHI,VSP,,,,
139,,하이카다이렉트,DR,마북4F,C-10,NA,,411496,스토리지_DAS,HITACHI,VSP G400,,,,
140,,관리계 통합SAN,개발,마북4F,C-11,NA,,USB736KNJD,SAN스위치,HP,StorageWorks SAN Switch 4/32,,,,
141,,외부통합,DR,마북4F,C-11,Embedded,ONTAP,13F0060,스토리지_NAS,IBM,N6220,,,,
142,,통합 개발 내부,개발,마북4F,C-11,NA,,780C450,통합서버,IBM,S922,,,,
143,,통합 개발 내부,개발,마북4F,C-11,,,95-20462,DAT,IBM,,,,,
144,,관리계 통합SAN,개발,마북4F,C-12,NA,,USB736KNK8,SAN스위치,HP,StorageWorks SAN Switch 4/32,,,,
145,,내부통합,DR,마북4F,C-12,Embedded,ONTAP,13F0061,스토리지_NAS,IBM,N6220,,,,
146,,내부통합,개발,마북4F,C-12,NA,,781AC89,스토리지_SAN,IBM,V5000,,,,
147,PBX,PBX시스템,개발,마북4F,C-14,Embedded,REDHAT,10AN13300039,어플라이언스,HP,DL360 G7,KT engcore,한솔,,
148,PBX,AES시스템,개발,마북4F,C-14,Embedded,REDHAT,12AN50500053,어플라이언스,HP,DL360 G7,KT engcore,한솔,,
149,PBX,교환기시스템,개발,마북4F,C-14,NA,,SN13N531400151,어플라이언스,AVAYA,AVAYA G650,KT engcore,한솔,,
150,PBX,교환기시스템,운영,마북4F,C-14,NA,,SN081604306104,어플라이언스,AVAYA,AVAYA G650,KT engcore,한솔,,
151,PBX,교환기시스템,운영,마북4F,C-14,NA,,SN081603600850,어플라이언스,AVAYA,AVAYA G650,KT engcore,한솔,,
152,PBX,교환기시스템,운영,마북4F,C-15,NA,,SN081604305886,어플라이언스,AVAYA,AVAYA G650,KT engcore,한솔,,
153,PBX,교환기시스템,운영,마북4F,C-15,NA,,SN081604306117,어플라이언스,AVAYA,AVAYA G650,KT engcore,한솔,,
154,PBX,교환기시스템,운영,마북4F,C-15,NA,,SN081603600947,어플라이언스,AVAYA,AVAYA G650,KT engcore,한솔,,
155,PBX,교환기시스템,운영,마북4F,C-15,NA,,SN081603600939,어플라이언스,AVAYA,AVAYA G650,KT engcore,한솔,,
156,PBX,PBX시스템,운영,마북4F,C-16,Embedded,REDHAT,13AN32400065,어플라이언스,HP,DL360 G7,KT engcore,한솔,,
157,PBX,AES시스템,운영,마북4F,C-16,Embedded,REDHAT,13AN31500106,어플라이언스,HP,DL360 G7,KT engcore,한솔,,
158,PBX,AES시스템,운영,마북4F,C-16,Embedded,REDHAT,13AN31400058,어플라이언스,HP,DL360 G7,KT engcore,한솔,,
159,PBX,PBX시스템,운영,마북4F,C-16,Embedded,REDHAT,13AN32400063,어플라이언스,HP,DL360 G7,KT engcore,한솔,,
160,,하이포탈시스템,DR,마북4F,D-01,Embedded,,50428,스토리지_SAN,HITACHI,VSP G1000,,,,
161,,하이포탈시스템,DR,마북4F,D-03,NA,,50428,IO_DEVICE,HITACHI,VSP G1000,,,,
162,,하이포탈EDMS,DR,마북4F,D-04,Embedded,,CKM0018****455,스토리지_ARCH,EMC,ECS,,,,
163,,하이포탈EDMS,DR,마북4F,D-04,NA,WINDOWS,GT1C3T2,일반서버,DELL,R640,,,,
164,,통합백업,DR,마북4F,D-05,Embedded,REDHAT,VTAS0009391,어플라이언스,VERITAS,NetBackup Appliance,,,,
165,,전자서명,개발,마북4F,D-07,UNIX,SOLARIS,1230BDYA72,일반서버,ORACLE,T4-1,,,,
166,,전자서명,개발,마북4F,D-07,UNIX,SOLARIS,1230BDYA6F,일반서버,ORACLE,T4-1,,,,
167,,하이포탈시스템,DR,마북4F,D-07,NA,,AK00384840,통합서버,ORACLE,T7-4,,,,
168,,하이포탈시스템,DR,마북4F,D-07,NA,,AK00384841,통합서버,ORACLE,T7-4,,,,
169,,개인신용정보분리보관,DR,마북4F,D-07,NA,,7812X40,스토리지_DAS,IBM,V5000,,,,
170,,개인신용정보분리보관,DR,마북4F,D-07,NA,,1729NNT189,통합서버,ORACLE,S7-2L,,,,
171,,OCR 시스템,개발,마북4F,D-07,NT,WINDOWS,SGH806T0VY,일반서버,HP,DL380 G10,,,,
172,,관리업무포탈,개발,마북4F,D-07,Embedded,ESXi,SGH907TKBZ,통합서버,HP,DL380 G10,,,,
173,,관리업무포탈,개발,마북4F,D-07,LINUX,REDHAT,SGH907TKBT,일반서버,HP,DL380 G10,,,,
174,,하이메신저,개발,마북4F,D-10,NT,WINDOWS,SGH627XLMM,일반서버,HP,DL160 G9,,,,
175,,하이메신저,개발,마북4F,D-10,NT,WINDOWS,SGH627XLMR,일반서버,HP,DL160 G9,,,,
176,,하이메신저,개발,마북4F,D-10,NT,WINDOWS,SGH627XLMT,일반서버,HP,DL160 G9,,,,
177,,화상회의,개발,마북4F,D-10,NT,WINDOWS,SGH610VDVT,일반서버,HP,DL160 G9,,,,
178,,상담지원,개발,마북4F,D-10,LINUX,REDHAT,SGH610VDXS,일반서버,HP,DL160 G9,,,,
179,,하이메신저,개발,마북4F,D-10,NT,WINDOWS,SGH610VDXP,일반서버,HP,DL160 G9,,,,
180,,IPT,개발,마북4F,D-10,NT,WINDOWS,SGH648WMFO,일반서버,HP,DL160 G9,,,,
181,,IPT,DR,마북4F,D-10,Embedded,CentOS,SGH609YTRW,어플라이언스,HP,DL360 Gen9,,,,
182,,IPT,DR,마북4F,D-10,Embedded,CentOS,SGH609YTRY,어플라이언스,HP,DL360 Gen9,,,,
183,,IPT,DR,마북4F,D-10,Embedded,CentOS,SGH610VE06,어플라이언스,HP,DL360 Gen9,,,,
184,,IPT,DR,마북4F,D-10,Embedded,CentOS,SGH610VE0A,어플라이언스,HP,DL360 Gen9,,,,
185,,하이메신저,개발,마북4F,D-10,NT,WINDOWS,SGH627XLMS,일반서버,HP,DL160 G9,,,,
186,,하이메신저,개발,마북4F,D-10,NT,WINDOWS,SGH627XLMN,일반서버,HP,DL160 G9,,,,
187,,하이메신저,개발,마북4F,D-10,NT,WINDOWS,SGH627XLMP,일반서버,HP,DL160 G9,,,,
188,,하이카다이렉트,DR,마북4F,E-11,NA,,06E0B2P,통합서버,IBM,P770,,,,
189,,하이카다이렉트,DR,마북4F,E-11,,,68-HB333,DAT,IBM,DAT160,,,,
190,,하이카다이렉트,DR,마북4F,E-11,Embedded,HMC,064632C,Console,IBM,X3550 M3,,,,
191,,DR통합 SAN#2,DR,마북4F,E-12,-,-,UC060014209,SAN스위치,BROCADE,SW4900,,,,
192,,DR통합 SAN#1,DR,마북4F,E-12,-,-,UC060014212,SAN스위치,BROCADE,SW4900,,,,
193,,"DR SMS, 메일",DR,마북4F,E-12,NT,WINDOWS,0824BD1FFA,일반서버,ORACLE,SunFire X4200 M2,,,,
194,,백업,운영,마북4F,E-12,-,-,확인불가,DAT,ORACLE,DAT72 SCSI,,,,
195,,IFRS17,개발,마북3F,A1-01,NT,WINDOWS,SGH842SXZF,일반서버,HP,DL380 G10,,,,
196,,IFRS17,개발,마북3F,A1-01,NT,WINDOWS,SGH842SXYV,일반서버,HP,DL380 G10,,,,
197,,IFRS17,개발,마북3F,A1-01,NT,WINDOWS,SGH842SXZP,일반서버,HP,DL380 G10,,,,
198,,IFRS17,개발,마북3F,A1-01,NT,WINDOWS,SGH842SXZK,일반서버,HP,DL380 G10,,,,
199,,IFRS17,개발,마북3F,A1-01,LINUX,REDHAT,SGH842SXWV,일반서버,HP,DL380 G10,,,,
200,,IFRS17,개발,마북3F,A1-01,LINUX,REDHAT,SGH841SMH3,일반서버,HP,DL380 G10,,,,
218,,IFRS17,개발,마북3F,A1-01,NT,WINDOWS,SGH842SXYZ,일반서버,HP,DL380 G10,,,,
201,,IFRS17,개발,마북3F,A1-01,NT,WINDOWS,SGH842SXYX,일반서버,HP,DL380 G10,,,,
202,,IFRS17,개발,마북3F,A1-01,NT,WINDOWS,SGH842SXZH,일반서버,HP,DL380 G10,,,,
203,,IFRS17,개발,마북3F,A1-01,NT,WINDOWS,SGH842SXYS,일반서버,HP,DL380 G10,,,,
204,,…………………….여기로,,,,,,,,,,,,,
205,,IFRS17,개발,마북3F,A1-02,NT,WINDOWS,SGH842SXZ1,일반서버,HP,DL380 G10,,,,
206,,IFRS17,개발,마북3F,A1-02,NT,WINDOWS,SGH842SXZ9,일반서버,HP,DL380 G10,,,,
207,,IFRS17,개발,마북3F,A1-02,NT,WINDOWS,SGH842SXZ3,일반서버,HP,DL380 G10,,,,
208,,IFRS17,개발,마북3F,A1-02,NT,WINDOWS,SGH842SXWX,일반서버,HP,DL380 G10,,,,
209,,IFRS17,개발,마북3F,A1-02,Embedded,,SGH841SMGM,일반서버,HP,DL380 G10,,,,
210,,IFRS17,개발,마북3F,A1-02,NT,WINDOWS,SGH842SXX7,일반서버,HP,DL380 G10,,,,
211,,IFRS17,개발,마북3F,A1-02,NT,WINDOWS,SGH842SXX3,일반서버,HP,DL380 G10,,,,
212,,IFRS17,개발,마북3F,A1-02,NT,WINDOWS,SGH842SXZ7,일반서버,HP,DL380 G10,,,,
213,,IFRS17,개발,마북3F,A1-02,NT,WINDOWS,SGH842SXZ5,일반서버,HP,DL380 G10,,,,
214,,IFRS17,개발,마북3F,A1-02,NT,WINDOWS,SGH842SXZM,일반서버,HP,DL380 G10,,,,
215,,IFRS17,개발,마북3F,A1-02,NT,WINDOWS,SGH842SXZC,일반서버,HP,DL380 G10,,,,
216,,IFRS17,개발,마북3F,A1-03,Embedded,,M4SJKW1733183,스토리지_NAS,HITACHI,H-NAS 4080,,,,
217,,IFRS17,개발,마북3F,A1-03,Embedded,ESXi,21023100PB10E4001364,어플라이언스,Huawei,RH2288 v3,,,,
218,,…………………….여기로,,,,,,,,,,,,,
219,,IFRS17,개발,마북3F,A1-03,NA,,BRW4039P05T,SAN스위치,BROCADE,BR6510,,,,
220,,IFRS17,개발,마북3F,A1-03,NA,,BRW4039P05N,SAN스위치,BROCADE,BR6510,,,,
204,,IFRS17,개발,마북3F,A1-04,NA,,413356,스토리지_SAN,HITACHI,VSP G400,,,,
221,,디지털헬스케어,개발,마북3F,A1-05,LINUX,CentOS,SGH847XDGM,일반서버,HP,DL380 G10,,,,
222,,디지털헬스케어,개발,마북3F,A1-05,LINUX,CentOS,SGH847XDHS,일반서버,HP,DL380 G10,,,,
223,,디지털헬스케어,개발,마북3F,A1-05,LINUX,CentOS,SGH847XDJ0,일반서버,HP,DL380 G10,,,,
224,,관리업무포탈,개발,마북3F,A1-05,LINUX,REDHAT,SGH907TKHQ,일반서버,HP,DL380 G10,,,,
225,,관리업무포탈,개발,마북3F,A1-05,LINUX,REDHAT,SGH907TKHP,일반서버,HP,DL380 G10,,,,
226,,영업포탈,개발,마북3F,A1-07,NT,WINDOWS,SGH647Y5FY,일반서버,HP,DL380 G5,,,,
